Lat,Long,Elevation,Prom,Name,Lat_dec,Long_dec,Icon
21°51'54",36°30'33",2180,1584,Jabal Asoteriba (new),21.86500,36.50916,
20°44'45",36°50'27",2218,1796,Jabal Erba (new),20.74583,36.84083,
-33°58'33",-69°52'54",5468,1633,Cerro Castillo,-33.97583,-69.88166,
57°14'28",-131°10'03",2987,2172,Scud Peak,57.24111,-131.16750,
36°57'02",74°50'09",6407,1715,Mintaka Sar,36.95055,74.83583,
54°08'35",-120°34'27",2949,1600,Mt. Ovington,54.14305,-120.57416,
41°41'22",78°58'30",5318,1563,Pt. 5318,41.68944,78.97500,
58°04'11",-125°42'04",2533,1515,Gataga Peak,58.06972,-125.70111,
36°15'21",117°06'20",1545,1505,Tai Shan,36.25583,117.10555,
30°00'56",66°49'41",3313,1503,Chiltan,30.01555,66.82805,
34°13'47",74°01'42",4398,1498,Pt. 4398,34.22972,74.02833,
35°55'42",75°49'21",7145,1495,Latok I,35.92833,75.82250,
28°06'15",89°32'42",6678,1492,Kangcheda I,28.10416,89.54500,
27°42'42",88°19'06",6887,1480,Siniolchu,27.71166,88.31833,
35°32'33",101°30'09",5000,1476,Pt. 5000±,35.54250,101.50250,
37°55'31",75°52'37",5110,1470,Pt. 5110±,37.92527,75.87694,
29°50'00",94°52'00",6846,1470,Tiba Kangri,29.83333,94.86666,
36°24'53",82°18'54",6120,1461,Pt. 6120±,36.41472,82.31500,
27°46'19",87°06'12",6758,1458,Tutse,27.77194,87.10333,
20°56'00",-100°11'00",3370,1455,Cerro el Zamorano,20.93333,-100.18333,
31°35'46",83°26'34",6600,1453,Kuhanbo Kang I,31.59611,83.44277,
56°53'08",-130°34'48",2239,1669,Faisal Peak,56.88555,-130.58000,
-3°04'33",37°21'06",5895,5885,Kilimanjaro,-3.07583,37.35166,
13°14'12",38°22'21",4533,3980,Ras Dejen,13.23666,38.37250,
0°23'03",29°52'24",5109,3951,Ngaliema,0.38416,29.87333,
4°13'03",09°10'18",4040,3901,Mt. Cameroon,4.21750,9.17166,
-0°09'03",37°18'27",5199,3825,Mt. Kenya,-0.15083,37.30750,
31°03'43",-07°54'58",4167,3755,Jebel Toubkal,31.06194,-7.91611,
-1°30'16",29°27'02",4507,3312,Volcán Karisimbi,-1.50444,29.45055,
-3°14'48",36°44'54",4565,3170,Mt. Meru,-3.24666,36.74833,
-21°05'44",55°28'49",3069,3069,Piton des Neiges,-21.09555,55.48027,
3°35'00",08°46'00",3011,3011,Pico Basilé,3.58333,8.76666,
19°47'30",18°33'00",3415,2904,Emi Koussi,19.79166,18.55000,
-14°01'24",48°57'57",2876,2876,Maromokotro ,-14.02333,48.96583,
6°49'33",39°49'03",4400,2527,Sante YeTerara Ch'af,6.82583,39.81750,
6°12'06",10°31'03",3011,2491,Mt. Oku,6.20166,10.51750,
12°56'00",24°13'39",3042,2512,Jebel Marra,12.93333,24.22750,
1°07'06",34°31'30",4321,2458,Mt. Elgon,1.11833,34.52500,
-29°28'06",29°16'09",3482,2390,Thabana Ntlenyana,-29.46833,29.26916,
-11°45'24",43°21'42",2361,2361,Le Kartala,-11.75666,43.36166,
23°17'20",05°32'03",2908,2328,Tahat,23.28888,5.53416,
-15°57'00",35°35'27",3002,2319,Sapitwa Peak,-15.95000,35.59083,
