user_id,birth_day,birth_month,birth_year,location,gender
1236805,26,2,1997,Los Angeles,M
2836384,13,2,1992,New York,M
5118289,28,2,1990,Rockville,F
2497066,12,2,2002,Middletown,M
2542664,5,2,1990,Weehawken,M
5473034,1,2,2003,Louisville,M
3198797,22,2,1972,Cockeysville,F
1323252,8,2,1997,Ocala,M
5712034,14,2,1988,Arcadia,F
3202767,17,2,1952,Lake Forest,M
986282,23,2,1983,Lawrence Township,M
8694993,19,2,1978,Louisville,M
8455470,2,2,1990,Bartow,M
4625234,6,2,1994,Columbus,M
9375925,11,2,1977,Philadelphia,M
9616165,14,2,1992,Rochester,M
847622,24,2,1991,New York,F
1984195,28,2,1982,Ocala,M
7987178,4,2,1949,Abington,M
2224265,1,2,1985,Philadelphia,M
461301,9,2,1984,Indianapolis,F
2735716,2,2,1984,Voorhees,M
4866721,5,2,1993,White Plains,M
8243752,14,2,1993,New York,M
4475144,23,2,1984,Colorado Springs,M
6061639,18,2,2003,Los Angeles,M
2690339,1,2,1980,Philadelphia,M
5786846,20,2,1985,Voorhees,M
9983978,10,2,1992,Philadelphia,F
5262273,2,2,1984,Philadelphia,M
8878359,11,2,1960,Rochester,M
7256600,26,2,1991,Louisville,M
2394881,20,2,1990,Vernon Rockville,F
4646483,26,2,1983,Vernon Rockville,M
7192267,17,2,1992,Middletown,F
5546663,10,2,1996,Weirton,M
9277176,15,2,1990,Clearwater,M
1195266,17,2,2003,New York,F
4726920,26,2,1954,Louisville,
1463941,28,2,1990,Columbus,M
8203987,15,2,1990,New York,F
861174,13,2,1975,Phoenix,M
288187,10,2,1949,Los Angeles,M
6293583,27,2,1994,Cockeysville,F
8140201,11,2,1996,East Granby,M
9679259,7,2,1992,Lawrence Township,M
6027644,13,2,1983,East Granby,F
6046700,4,2,1946,Los Angeles,M
4705153,25,2,1996,Yucaipa,M
6232438,18,2,1981,Weirton,M
4460890,6,2,1949,Lake Forest,F
2136107,17,2,1986,Fairfield,M
1581620,13,2,1995,Windsor Mill,M
