user_id,product,intervals,purchase_date,voucher
1236805,12M,1,11/7/2018 13:22,50.0
2836384,6M,1,5/12/2018 11:29,
5118289,3M,3,5/31/2018 12:50,
2497066,3M,5,11/16/2018 15:58,
2542664,3M,7,12/6/2018 12:26,50.0
5473034,6M,2,8/31/2018 17:16,
3198797,6M,2,10/19/2018 11:49,50.0
1323252,12M,1,6/20/2018 13:08,30.0
5712034,12M,1,11/29/2018 16:33,50.0
3202767,12M,1,12/2/2018 9:41,
986282,3M,2,7/6/2018 12:18,50.0
8694993,1M,6,6/9/2018 15:48,50.0
8455470,12M,1,9/25/2018 13:39,50.0
4625234,12M,1,6/1/2018 17:28,
9375925,3M,7,3/31/2018 12:08,
9616165,12M,1,12/12/2018 16:14,20.0
847622,12M,1,11/6/2018 12:30,50.0
1984195,6M,1,9/7/2018 14:13,
7987178,3M,6,11/30/2018 11:18,30.0
2224265,3M,4,6/6/2018 12:06,30.0
461301,3M,1,11/29/2018 13:06,50.0
2735716,1M,2,9/15/2018 15:26,50.0
4866721,3M,2,4/3/2018 14:24,50.0
8243752,1M,6,2/1/2018 12:25,20.0
4475144,1M,2,9/22/2018 15:03,
6061639,12M,1,7/6/2018 9:46,
2690339,1M,5,10/9/2018 15:24,30.0
5786846,3M,2,9/12/2018 14:24,20.0
9983978,12M,1,8/2/2018 14:21,20.0
5262273,12M,1,12/3/2018 13:42,30.0
8878359,12M,1,12/1/2018 17:06,
7256600,3M,1,8/12/2018 16:30,50.0
2394881,12M,1,10/16/2018 12:16,50.0
4646483,3M,2,4/4/2018 14:41,
7192267,6M,3,2/18/2018 10:16,30.0
5546663,6M,1,12/2/2018 14:18,30.0
9277176,3M,2,4/10/2018 13:36,
1195266,3M,6,11/24/2018 9:26,50.0
4726920,3M,4,10/12/2018 9:35,
1463941,12M,1,7/20/2018 16:12,50.0
8203987,12M,1,12/16/2018 9:23,30.0
861174,12M,1,12/5/2018 10:54,50.0
288187,12M,1,11/15/2018 9:26,50.0
6293583,12M,1,11/29/2018 16:33,50.0
8140201,12M,2,3/7/2018 9:49,20.0
9679259,12M,1,11/23/2018 13:39,30.0
6027644,3M,4,9/15/2018 10:53,50.0
6046700,12M,1,7/12/2018 14:57,
4705153,12M,1,12/1/2018 14:32,50.0
6232438,1M,5,6/9/2018 16:04,20.0
4460890,6M,1,8/18/2018 15:41,
2136107,6M,1,7/4/2018 10:17,30.0
1581620,1M,3,5/15/2018 13:14,50.0
2103379,3M,6,4/21/2018 12:34,20.0
61441,6M,1,12/8/2018 12:01,30.0
2605307,3M,6,12/1/2018 12:31,30.0
2478447,6M,3,3/25/2018 14:01,
2646043,12M,1,11/10/2018 15:32,
8742909,6M,2,12/8/2018 10:26,50.0
8240277,3M,3,5/22/2018 13:01,20.0
5768485,12M,1,10/20/2018 14:01,
2714458,3M,5,9/27/2018 10:40,20.0
2164616,6M,1,12/14/2018 16:39,50.0
2966413,3M,6,5/12/2018 8:41,50.0
542208,12M,1,2/28/2018 14:15,50.0
1054392,3M,5,7/5/2018 17:09,50.0
1731477,3M,3,10/30/2018 12:48,
3569773,3M,6,11/18/2018 12:07,20.0
6800727,12M,1,11/16/2018 8:28,50.0
4637590,6M,1,11/13/2018 16:16,20.0
116362,12M,2,10/13/2018 10:26,20.0
825114,3M,7,11/29/2018 8:41,50.0
153512,3M,1,4/14/2018 14:14,30.0
7737009,6M,2,6/8/2018 10:45,
2217949,12M,1,7/12/2018 10:04,50.0
4986018,3M,3,4/18/2018 13:49,50.0
2136724,12M,1,10/9/2018 12:56,20.0
5818370,3M,4,4/4/2018 15:54,30.0
8243411,12M,1,12/8/2018 10:40,
7915049,12M,1,9/15/2018 12:51,
9883891,12M,1,1/9/2018 12:53,20.0
7516621,6M,2,3/14/2018 15:11,20.0
9671826,3M,3,9/12/2018 12:27,20.0
7647480,12M,1,6/5/2018 14:20,50.0
9869510,1M,5,5/9/2018 15:21,
3634832,3M,6,11/16/2018 15:16,20.0
323716,6M,1,8/24/2018 15:08,50.0
6397835,3M,4,10/30/2018 16:10,50.0
8101183,12M,1,9/19/2018 13:32,50.0
1957864,6M,2,12/2/2018 15:25,
4308775,12M,2,1/18/2018 13:38,
8075923,12M,2,4/5/2018 11:54,20.0
7381952,3M,6,5/5/2018 11:38,
367739,12M,1,6/8/2018 13:54,
9166407,12M,1,11/27/2018 15:38,
5258822,12M,1,6/15/2018 15:41,50.0
1558848,12M,1,10/10/2018 16:58,20.0
5594520,12M,1,10/17/2018 14:42,30.0
7294149,12M,1,4/12/2018 11:34,20.0
349611,12M,1,10/30/2018 11:59,30.0
7404180,6M,3,11/10/2018 14:23,
4237475,1M,11,9/1/2018 11:33,20.0
5399506,12M,1,12/9/2018 16:26,30.0
346492,6M,3,11/6/2018 13:00,30.0
6935089,3M,1,2/23/2018 12:25,
2695317,3M,7,3/21/2018 10:31,30.0
9875406,3M,1,10/17/2018 11:27,50.0
8637740,3M,6,11/22/2018 14:04,
1573453,3M,4,10/31/2018 14:41,50.0
1748602,12M,1,10/20/2018 12:45,30.0
9570758,12M,1,8/8/2018 16:18,30.0
4439603,3M,3,5/4/2018 11:50,50.0
5759509,1M,4,8/31/2018 12:11,50.0
7858613,12M,1,11/9/2018 12:08,30.0
9744316,6M,1,10/18/2018 17:00,
2031557,3M,7,6/14/2018 11:36,30.0
2598879,6M,2,4/18/2018 16:31,
3565870,6M,2,4/5/2018 13:56,
4131798,3M,2,8/4/2018 13:15,
9555922,3M,6,1/17/2018 14:27,
3819885,12M,2,4/15/2018 10:42,20.0
2407483,6M,3,5/26/2018 16:30,
996687,12M,1,2/13/2018 14:40,
8605517,6M,2,6/8/2018 12:40,50.0
4938883,3M,6,6/6/2018 16:41,20.0
6049878,12M,1,5/25/2018 11:41,20.0
8604244,12M,2,4/21/2018 12:34,
234966,3M,3,11/3/2018 14:27,30.0
1911154,6M,2,5/16/2018 14:52,30.0
7154596,3M,2,12/6/2018 9:58,
5796543,3M,2,11/8/2018 18:41,
839664,12M,1,12/1/2018 13:17,50.0
2038350,12M,1,1/12/2018 9:26,30.0
9827353,3M,3,7/31/2018 15:31,50.0
3471398,12M,2,10/7/2018 9:44,
4297408,3M,6,12/1/2018 8:35,20.0
4958388,12M,1,10/26/2018 14:42,20.0
1180591,12M,2,9/14/2018 11:55,30.0
8062080,3M,5,7/19/2018 17:17,50.0
8548411,12M,1,10/24/2018 17:07,
880230,12M,1,2/2/2018 17:06,
7618127,12M,1,10/23/2018 12:46,50.0
973907,3M,2,4/26/2018 11:51,50.0
7690650,3M,7,1/11/2018 12:11,
2255711,3M,5,9/2/2018 13:00,
8462196,3M,2,12/6/2018 15:14,20.0
1146753,3M,7,4/6/2018 13:28,50.0
2281569,3M,2,4/14/2018 8:49,30.0
9001965,12M,2,4/11/2018 13:41,
8692756,12M,1,10/3/2018 14:52,
9915626,6M,1,4/15/2018 10:37,
9401841,12M,2,3/31/2018 16:43,50.0
323622,12M,1,12/5/2018 11:58,30.0
1215306,1M,2,3/17/2018 14:19,
3072875,3M,3,9/13/2018 12:26,20.0
3357350,3M,1,4/3/2018 15:07,
6282501,3M,2,6/16/2018 13:14,
751811,3M,6,2/17/2018 12:59,20.0
4210240,3M,1,8/11/2018 12:48,50.0
476710,6M,2,11/25/2018 13:30,20.0
9997379,12M,1,10/25/2018 10:32,50.0
4387165,12M,1,3/28/2018 16:27,50.0
2052076,3M,5,11/30/2018 14:42,50.0
4903773,12M,2,11/18/2018 12:09,30.0
9648123,6M,2,6/10/2018 17:25,
5060963,6M,1,11/29/2018 11:32,50.0
1248186,3M,2,2/25/2018 11:30,30.0
8335743,3M,2,5/23/2018 12:38,50.0
183085,1M,5,9/19/2018 11:02,50.0
4386909,12M,1,12/12/2018 11:06,
1965552,3M,4,1/24/2018 9:35,
9687331,12M,1,6/29/2018 15:58,50.0
8386182,6M,1,12/9/2018 9:34,50.0
3168242,3M,2,12/1/2018 13:08,
1595746,6M,2,12/13/2018 9:35,
531452,3M,2,11/11/2018 13:35,
5486240,12M,1,10/31/2018 14:41,50.0
5071190,12M,2,12/5/2018 17:17,30.0
9321772,12M,1,7/6/2018 16:29,
1106160,3M,1,5/3/2018 12:02,
4826260,3M,1,10/4/2018 11:33,30.0
7741143,3M,3,2/15/2018 14:49,30.0
1581023,1M,15,10/19/2018 10:03,
1698819,12M,1,6/5/2018 11:02,50.0
9122779,1M,2,4/11/2018 11:51,50.0
7154481,12M,1,7/8/2018 15:57,20.0
2581260,1M,1,5/31/2018 13:32,50.0
5289751,12M,1,1/25/2018 13:26,
9327492,12M,1,4/12/2018 14:43,
711330,1M,8,6/14/2018 12:41,30.0
9212505,3M,6,11/28/2018 15:31,50.0
4732014,3M,4,1/21/2018 11:17,50.0
8836855,12M,1,9/5/2018 15:30,
5140890,1M,2,12/8/2018 15:56,50.0
1309787,1M,1,6/16/2018 13:48,
3258933,12M,1,1/14/2018 10:15,30.0
2448943,6M,2,7/11/2018 13:32,
6157875,1M,12,11/30/2018 15:33,20.0
8064922,12M,1,10/3/2018 14:59,20.0
1654755,3M,2,12/14/2018 12:58,50.0
8644179,6M,3,8/10/2018 16:56,20.0
9934313,12M,1,3/16/2018 11:52,
722952,12M,1,8/12/2018 9:04,
7897915,12M,1,1/18/2018 15:19,20.0
5109287,3M,6,12/8/2018 16:30,
9312907,1M,1,8/2/2018 9:14,
640696,12M,1,5/23/2018 11:07,50.0
6647535,3M,2,10/25/2018 14:35,
2136433,12M,1,9/22/2018 13:37,
7274978,6M,2,9/25/2018 12:32,20.0
59946,12M,1,12/6/2018 10:08,
994927,1M,2,5/10/2018 15:09,50.0
7269403,3M,1,5/17/2018 15:37,50.0
8329416,12M,1,12/7/2018 9:13,50.0
6929203,6M,1,5/11/2018 12:47,30.0
